name,location,price,area_type,area,bhk
Madhur Jeevan Apartments,"4 BHK Flat in Sector 56, Gurgaon",₹2.9 Cr,Super Built-up Area,"2,000 sqft
(186 sqm)","4 BHK
(3 Baths)"
"Central Park Flower Valley
3.7","3 BHK Flat in Sector-33 Sohna, Gurgaon",₹2.49 Cr,Super Built-up Area,"1,789 sqft
(166 sqm)","3 BHK
(3 Baths)"
"Signature Global Park
3.8","2 BHK Flat in Sohna, Gurgaon",₹88 Lac,Carpet Area,"865 sqft
(80 sqm)","2 BHK
(2 Baths)"
SS Almeria,"3 BHK Flat in Sector 84, Gurgaon",₹1.95 Cr,Carpet Area,"1,800 sqft
(167 sqm)","3 BHK
(3 Baths)"
"Unitech Uniworld Gardens 2
3.6","2 BHK Flat in Sector 47, Gurgaon",₹1.41 Cr,Super Built-up Area,"973 sqft
(90 sqm)","2 BHK
(2 Baths)"
"DLF Express Greens
3.9","4 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.7 Cr,Super Built-up Area,"2,230 sqft
(207 sqm)","4 BHK
(5 Baths)"
"Pareena Express Heights
3.8","4 BHK Flat in Sector 99, Gurgaon",₹2.2 Cr,Super Built-up Area,"2,425 sqft
(225 sqm)","4 BHK
(4 Baths)"
"M3M Woodshire
4.1","3 BHK Flat in Sector 107, Gurgaon",₹2.1 Cr,Super Built-up Area,"2,361 sqft
(219 sqm)","3 BHK
(4 Baths)"
"Ireo The Corridors
3.8","3 BHK Flat in Sector 67A, Gurgaon",₹3 Cr,Super Built-up Area,"1,727 sqft
(160 sqm)","3 BHK
(3 Baths)"
"Emaar MGF Emerald Floors Premier
3.7","3 BHK Flat in Sector 65, Gurgaon",₹2.8 Cr,Super Built-up Area,"1,600 sqft
(149 sqm)","3 BHK
(3 Baths)"
"The Close South
4.0","3 BHK Flat in Nirvana Country, Gurgaon",₹4.1 Cr,Super Built-up Area,"2,480 sqft
(230 sqm)","3 BHK
(4 Baths)"
"Emaar Emerald Hills
4.1","3 BHK Flat in Sector 65, Gurgaon",₹2.9 Cr,Carpet Area,"1,395 sqft
(130 sqm)","3 BHK
(3 Baths)"
"Technocrat Society
3.8","3 BHK Flat in Block D sector 56, Gurgaon",₹2.4 Cr,Super Built-up Area,"2,000 sqft
(186 sqm)","3 BHK
(3 Baths)"
"Ansal Harmony Homes
3.8","4 BHK Flat in Sushant Lok Phase 3, Gurgaon",₹2.62 Cr,Super Built-up Area,"2,200 sqft
(204 sqm)","4 BHK
(3 Baths)"
"Ardee City
3.7","2 BHK Flat in Sector 52, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,100 sqft
(102 sqm)","2 BHK
(2 Baths)"
,,,,,
"Breez Global Heights
4.1","2 BHK Flat in Sohna, Gurgaon",₹65 Lac,Super Built-up Area,"950 sqft
(88 sqm)","2 BHK
(2 Baths)"
Godrej Air,"3 BHK Flat in Sector 85, Gurgaon",₹2.95 Cr,Carpet Area,"2,129 sqft
(198 sqm)","3 BHK
(3 Baths)"
"Emaar Gurgaon Greens
4.1","3 BHK Flat in Sector 102, Gurgaon",₹1.91 Cr,Super Built-up Area,"1,650 sqft
(153 sqm)","3 BHK
(4 Baths)"
"Experion The Heartsong
3.9","4 BHK Flat in Sector 108, Gurgaon",₹4.15 Cr,Super Built-up Area,"2,779 sqft
(258 sqm)","4 BHK
(5 Baths)"
"Adani M2K Oyster Grande
3.8","4 BHK Flat in Sector 102, Gurgaon",₹4.96 Cr,Super Built-up Area,"3,198 sqft
(297 sqm)","4 BHK
(3 Baths)"
Godrej Meridien,"3 BHK Flat in Sector 106, Gurgaon",₹3.36 Cr,Super Built-up Area,"2,002 sqft
(186 sqm)","3 BHK
(3 Baths)"
Godrej Meridien,"3 BHK Flat in Sector 106, Gurgaon",₹3.15 Cr,Super Built-up Area,"1,855 sqft
(172 sqm)","3 BHK
(3 Baths)"
Godrej Meridien,"2 BHK Flat in Sector 106, Gurgaon",₹2.25 Cr,Super Built-up Area,"1,366 sqft
(127 sqm)","2 BHK
(2 Baths)"
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹2.45 Cr,Super Built-up Area,"1,689 sqft
(157 sqm)","3 BHK
(3 Baths)"
Godrej Meridien,"3 BHK Flat in Sector 106, Gurgaon",₹2.97 Cr,Super Built-up Area,"1,855 sqft
(172 sqm)","3 BHK
(3 Baths)"
"Ramprastha The Edge Towers
3.6","3 BHK Flat in Sector 37D, Gurgaon",₹1.48 Cr,Super Built-up Area,"1,770 sqft
(164 sqm)","3 BHK
(3 Baths)"
"Shree Vardhman Victoria
3.7","3 BHK Flat in Sector 70, Gurgaon",₹2.27 Cr,Super Built-up Area,"1,950 sqft
(181 sqm)","3 BHK
(5 Baths)"
Assotech Blith,"2 BHK Flat in Sector 99, Gurgaon",₹1.5 Cr,Super Built-up Area,"1,365 sqft
(127 sqm)","2 BHK
(2 Baths)"
"Smart World Orchard
3.7","3 BHK Flat in Sector 61, Gurgaon",₹2.35 Cr,Super Built-up Area,"1,627 sqft
(151 sqm)","3 BHK
(3 Baths)"
"Emaar Palm Gardens
4.0","3 BHK Flat in Sector 83, Gurgaon",₹2.05 Cr,Super Built-up Area,"1,720 sqft
(160 sqm)","3 BHK
(2 Baths)"
"Emaar Gurgaon Greens
4.1","3 BHK Flat in Sector 102, Gurgaon",₹1.95 Cr,Carpet Area,"1,685 sqft
(157 sqm)","3 BHK
(3 Baths)"
"Shree Vardhman Victoria
3.7","2 BHK Flat in Sector 70, Gurgaon",₹1.65 Cr,Carpet Area,"1,350 sqft
(125 sqm)","2 BHK
(2 Baths)"
"Signature Global City
3.2","3 BHK Flat in Sector 37D, Gurgaon",₹1.8 Cr,Super Built-up Area,"1,535 sqft
(143 sqm)","3 BHK
(3 Baths)"
"Signature Global City 92
3.6","2 BHK Flat in Sector 92, Gurgaon",₹1.06 Cr,Super Built-up Area,"1,050 sqft
(98 sqm)","2 BHK
(2 Baths)"
"Signature Global City 92
3.6","3 BHK Flat in Sector 92, Gurgaon",₹1.2 Cr,Super Built-up Area,"1,200 sqft
(111 sqm)","3 BHK
(2 Baths)"
"Conscient Heritage Max
4.2","3 BHK Flat in Sector 102, Gurgaon",₹3.09 Cr,Super Built-up Area,"2,149 sqft
(200 sqm)","3 BHK
(4 Baths)"
"Smart World Orchard
3.7","3 BHK Flat in Sector 61, Gurgaon",₹2.5 Cr,Super Built-up Area,"1,626 sqft
(151 sqm)","3 BHK
(3 Baths)"
"Tata Gurgaon Gateway
3.6","2 BHK Flat in Sector 112, Gurgaon",₹2.2 Cr,Super Built-up Area,"1,580 sqft
(147 sqm)","2 BHK
(2 Baths)"
"Vatika Lifestyle Homes
3.7","3 BHK Flat in Sector 83, Gurgaon",₹1.64 Cr,Super Built-up Area,"1,750 sqft
(163 sqm)","3 BHK
(2 Baths)"
"Central Park 2 Bellevue
3.8","3 BHK Flat in Sector 48, Gurgaon",₹3.85 Cr,Super Built-up Area,"2,550 sqft
(237 sqm)","3 BHK
(3 Baths)"
,,,,,
Tulip Violet,"4 BHK Flat in Sector 69, Gurgaon",₹4.9 Cr,Super Built-up Area,"3,156 sqft
(293 sqm)","4 BHK
(6 Baths)"
"Experion The Heartsong
3.9","3 BHK Flat in Sector 108, Gurgaon",₹1.87 Cr,Super Built-up Area,"1,758 sqft
(163 sqm)","3 BHK
(3 Baths)"
"Emaar Gurgaon Greens
4.1","3 BHK Flat in Sector 102, Gurgaon",₹1.99 Cr,Super Built-up Area,"1,650 sqft
(153 sqm)","3 BHK
(3 Baths)"
"Puri Emerald Bay
4.0","3 BHK Flat in Sector 104, Gurgaon",₹3.92 Cr,Super Built-up Area,"2,450 sqft
(228 sqm)","3 BHK
(4 Baths)"
"Pareena Express Heights
3.8","3 BHK Flat in Sector 99, Gurgaon",₹2.05 Cr,Super Built-up Area,"1,865 sqft
(173 sqm)","3 BHK
(3 Baths)"
"Emaar MGF The Palm Drive
4.0","3 BHK Flat in Sector 66, Gurgaon",₹4.35 Cr,Super Built-up Area,"2,200 sqft
(204 sqm)","3 BHK
(4 Baths)"
"Orris Carnation Residency
3.7","4 BHK Flat in Sector 85, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,975 sqft
(183 sqm)","4 BHK
(4 Baths)"
DLF The Skycourt,"3 BHK Flat in Sector 86, Gurgaon",₹2.35 Cr,Super Built-up Area,"1,929 sqft
(179 sqm)","3 BHK
(3 Baths)"
"SS The Coralwood
3.5","3 BHK Flat in Sector 84, Gurgaon",₹1.4 Cr,Carpet Area,"1,425 sqft
(132 sqm)","3 BHK
(3 Baths)"
"Tata Gurgaon Gateway
3.6","2 BHK Flat in Sector 112, Gurgaon",₹2.3 Cr,Super Built-up Area,"1,580 sqft
(147 sqm)","2 BHK
(2 Baths)"
"Shree Vardhman Victoria
3.7","3 BHK Flat in Sector 70, Gurgaon",₹2.29 Cr,Super Built-up Area,"1,950 sqft
(181 sqm)","3 BHK
(5 Baths)"
"Emaar Mgf Palm Terraces Select
3.6","4 BHK Flat in Sector 66, Gurgaon",₹4.4 Cr,Super Built-up Area,"2,410 sqft
(224 sqm)","4 BHK
(5 Baths)"
"Ireo Skyon
4.1","2 BHK Flat in Sector 60, Gurgaon",₹2.8 Cr,Super Built-up Area,"1,524 sqft
(142 sqm)","2 BHK
(3 Baths)"
"Bestech Altura
3.5","3 BHK Flat in Sector 79, Gurgaon",₹2.69 Cr,Super Built-up Area,"2,150 sqft
(200 sqm)","3 BHK
(4 Baths)"
Godrej Meridien,"4 BHK Flat in Sector 106, Gurgaon",₹4.1 Cr,Carpet Area,"2,720 sqft
(253 sqm)","4 BHK
(4 Baths)"
DLF Regal Gardens,"3 BHK Flat in Sector 90, Gurgaon",₹2.12 Cr,Super Built-up Area,"1,730 sqft
(161 sqm)","3 BHK
(3 Baths)"
Godrej Meridien,"3 BHK Flat in Sector 106, Gurgaon",₹2.65 Cr,Super Built-up Area,"1,625 sqft
(151 sqm)","3 BHK
(3 Baths)"
"Tulip Purple
3.9","4 BHK Flat in Sector 69, Gurgaon",₹2.75 Cr,Super Built-up Area,"2,400 sqft
(223 sqm)","4 BHK
(5 Baths)"
"DLF The Skycourt
4.0","3 BHK Flat in Sector 86, Gurgaon",₹2.2 Cr,Super Built-up Area,"1,929 sqft
(179 sqm)","3 BHK
(3 Baths)"
"Maxworth Premier Urban
3.6","3 BHK Flat in Sector 15 Part 2, Gurgaon",₹2.65 Cr,Super Built-up Area,"1,830 sqft
(170 sqm)","3 BHK
(3 Baths)"
"Signature Global City
3.2","3 BHK Flat in Sector 37D, Gurgaon",₹1.52 Cr,Carpet Area,"1,250 sqft
(116 sqm)","3 BHK
(3 Baths)"
"M3M Woodshire
4.1","2 BHK Flat in Sector 107, Gurgaon",₹1.3 Cr,Super Built-up Area,"1,366 sqft
(127 sqm)","2 BHK
(2 Baths)"
"Emaar MGF Emerald Floors Premier
3.7","3 BHK Flat in Sector 65, Gurgaon",₹2.8 Cr,Super Built-up Area,"1,600 sqft
(149 sqm)","3 BHK
(3 Baths)"
"DLF The Ultima
4.1","4 BHK Flat in Sector 81, Gurgaon",₹4.87 Cr,Super Built-up Area,"2,872 sqft
(267 sqm)","4 BHK
(4 Baths)"
"DLF The Ultima
4.1","3 BHK Flat in Sector 81, Gurgaon",₹3.65 Cr,Super Built-up Area,"2,103 sqft
(195 sqm)","3 BHK
(3 Baths)"
,,,,,
"DLF The Ultima
4.1","3 BHK Flat in Sector 81, Gurgaon",₹3.5 Cr,Super Built-up Area,"2,100 sqft
(195 sqm)","3 BHK
(4 Baths)"
"DLF The Ultima
4.1","4 BHK Flat in Sector 81, Gurgaon",₹5 Cr,Super Built-up Area,"2,825 sqft
(262 sqm)","4 BHK
(5 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
"La Vida by Tata Housing
3.6","2 BHK Flat in Sector 113, Gurgaon",₹2.1 Cr,Carpet Area,"944 sqft
(88 sqm)","2 BHK
(2 Baths)"
"Emaar Digihomes
3.8","2 BHK Flat in Sector 62, Gurgaon",₹3.6 Cr,Super Built-up Area,"1,508 sqft
(140 sqm)","2 BHK
(2 Baths)"
"Godrej 101
3.8","3 BHK Flat in Sector 79, Gurgaon",₹2.7 Cr,Super Built-up Area,"2,366 sqft
(220 sqm)","3 BHK
(4 Baths)"
"DLF New Town Heights 2
4.0","4 BHK Flat in Sector 86, Gurgaon",₹2.49 Cr,Super Built-up Area,"2,364 sqft
(220 sqm)","4 BHK
(4 Baths)"
"DLF New Town Heights 2
4.0","4 BHK Flat in Sector 86, Gurgaon",₹2.45 Cr,Super Built-up Area,"2,364 sqft
(220 sqm)","4 BHK
(4 Baths)"
"Cosmos Express 99
3.5","2 BHK Flat in Sector 99, Gurgaon",₹1.23 Cr,Super Built-up Area,"1,300 sqft
(121 sqm)","2 BHK
(2 Baths)"
"Antriksh Heights
3.8","3 BHK Flat in Sector 84, Gurgaon",₹1.68 Cr,Super Built-up Area,"2,025 sqft
(188 sqm)","3 BHK
(3 Baths)"
"Sare Crescent Parc
3.6","3 BHK Flat in Sector 92, Gurgaon",₹1.4 Cr,Super Built-up Area,"1,600 sqft
(149 sqm)","3 BHK
(3 Baths)"
"La Vida by Tata Housing
3.6","3 BHK Flat in Sector 113, Gurgaon",₹3.27 Cr,Built-up Area,"2,217 sqft
(206 sqm)","3 BHK
(3 Baths)"
"Vatika City Homes
4.0","2 BHK Flat in Sector 83, Gurgaon",₹1.4 Cr,Super Built-up Area,"1,355 sqft
(126 sqm)","2 BHK
(2 Baths)"
"SS The Coralwood
3.5","3 BHK Flat in Sector 84, Gurgaon",₹1.85 Cr,Carpet Area,"1,750 sqft
(163 sqm)","3 BHK
(3 Baths)"
"Krisumi Waterfall Residences
3.7","3 BHK Flat in Sector 36A, Gurgaon",₹3.8 Cr,Super Built-up Area,"1,967 sqft
(183 sqm)","3 BHK
(3 Baths)"
"DLF New Town Heights 2
4.0","3 BHK Flat in Sector 86, Gurgaon",₹2.1 Cr,Super Built-up Area,"1,930 sqft
(179 sqm)","3 BHK
(3 Baths)"
Greenopolis,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,910 sqft
(177 sqm)","3 BHK
(3 Baths)"
"DLF The Skycourt
4.0","3 BHK Flat in Sector 86, Gurgaon",₹2.3 Cr,Super Built-up Area,"1,930 sqft
(179 sqm)","3 BHK
(3 Baths)"
"SS The Leaf
4.1","4 BHK Flat in Sector 85, Gurgaon",₹3.4 Cr,Super Built-up Area,"2,812 sqft
(261 sqm)","4 BHK
(5 Baths)"
"Mapsko Mount Ville
4.1","3 BHK Flat in Sector 79, Gurgaon",₹1.9 Cr,Super Built-up Area,"1,490 sqft
(138 sqm)","3 BHK
(3 Baths)"
Signature Global The Millennia 2,"2 BHK Flat in Sector 37D, Gurgaon",₹74.5 Lac,Carpet Area,"557 sqft
(52 sqm)","2 BHK
(2 Baths)"
DLF Regal Gardens,"4 BHK Flat in Sector 90, Gurgaon",₹2.95 Cr,Super Built-up Area,"2,215 sqft
(206 sqm)","4 BHK
(4 Baths)"
"SS The Leaf
4.1","4 BHK Flat in Sector 85, Gurgaon",₹3.3 Cr,Super Built-up Area,"2,812 sqft
(261 sqm)","4 BHK
(5 Baths)"
"Puri Emerald Bay
4.0","3 BHK Flat in Sector 104, Gurgaon",₹3.5 Cr,Super Built-up Area,"2,450 sqft
(228 sqm)","3 BHK
(4 Baths)"
"Imperia The Esfera
3.9","2 BHK Flat in Sector 37C, Gurgaon",₹1.23 Cr,Carpet Area,"1,578 sqft
(147 sqm)","2 BHK
(3 Baths)"
,,,,,
"Spaze Privy AT4
3.8","3 BHK Flat in Sector 84, Gurgaon",₹1.96 Cr,Super Built-up Area,"1,918 sqft
(178 sqm)","3 BHK
(3 Baths)"
"Cosmos Express 99
3.5","4 BHK Flat in Sector 99, Gurgaon",₹3.06 Cr,Super Built-up Area,"3,200 sqft
(297 sqm)","4 BHK
(6 Baths)"
"Mapsko Mount Ville
4.1","3 BHK Flat in Sector 79, Gurgaon",₹1.82 Cr,Super Built-up Area,"1,490 sqft
(138 sqm)","3 BHK
(3 Baths)"
"DLF New Town Heights 2
4.0","3 BHK Flat in Sector 86, Gurgaon",₹2.05 Cr,Super Built-up Area,"1,930 sqft
(179 sqm)","3 BHK
(3 Baths)"
"ATS Triumph
3.7","3 BHK Flat in Sector 104, Gurgaon",₹2.9 Cr,Super Built-up Area,"2,290 sqft
(213 sqm)","3 BHK
(4 Baths)"
"Vatika Sovereign Park
3.9","4 BHK Flat in Sector 99, Gurgaon",₹4.71 Cr,Super Built-up Area,"3,360 sqft
(312 sqm)","4 BHK
(4 Baths)"
Godrej Meridien,"3 BHK Flat in Sector 106, Gurgaon",₹3.1 Cr,Super Built-up Area,"2,002 sqft
(186 sqm)","3 BHK
(3 Baths)"
"Bestech Altura
3.5","3 BHK Flat in Sector 79, Gurgaon",₹2.55 Cr,Super Built-up Area,"2,050 sqft
(190 sqm)","3 BHK
(3 Baths)"
"Puri Emerald Bay
4.0","3 BHK Flat in Sector 104, Gurgaon",₹3.55 Cr,Super Built-up Area,"2,450 sqft
(228 sqm)","3 BHK
(4 Baths)"
"Experion The Heartsong
3.9","2 BHK Flat in Sector 108, Gurgaon",₹1.42 Cr,Built-up Area,"978 sqft
(91 sqm)","2 BHK
(3 Baths)"
Signature Global The Millennia 3,"2 BHK Flat in Sector 37D, Gurgaon",₹66 Lac,Carpet Area,"589 sqft
(55 sqm)","2 BHK
(2 Baths)"
CGHS Doordarshan Apartments,"3 BHK Flat in Sector 45, Gurgaon",₹3 Cr,Super Built-up Area,"2,100 sqft
(195 sqm)","3 BHK
(3 Baths)"
"Sobha City
3.7","2 BHK Flat in Sector 108, Gurgaon",₹2.7 Cr,Super Built-up Area,"1,381 sqft
(128 sqm)","2 BHK
(2 Baths)"
"SBTL Caladium
3.9","3 BHK Flat in Sector 109, Gurgaon",₹2.55 Cr,Super Built-up Area,"2,505 sqft
(233 sqm)","3 BHK
(3 Baths)"
Sare Homes,"4 BHK Flat in Sector 92, Gurgaon",₹1.8 Cr,Built-up Area,"2,090 sqft
(194 sqm)","4 BHK
(4 Baths)"
"Ireo The Corridors
3.8","3 BHK Flat in Sector 67A, Gurgaon",₹2.9 Cr,Super Built-up Area,"1,727 sqft
(160 sqm)","3 BHK
(3 Baths)"
"Ireo The Corridors
3.8","3 BHK Flat in Sector 67A, Gurgaon",₹3.01 Cr,Super Built-up Area,"1,839 sqft
(171 sqm)","3 BHK
(3 Baths)"
"DLF Regal Gardens
3.9","3 BHK Flat in Sector 90, Gurgaon",₹2.1 Cr,Super Built-up Area,"1,713 sqft
(159 sqm)","3 BHK
(3 Baths)"
"Silverglades The Melia
3.7","2 BHK Flat in Sohna, Gurgaon",₹1.35 Cr,Super Built-up Area,"1,500 sqft
(139 sqm)","2 BHK
(2 Baths)"
"Spaze Privy AT4
3.8","3 BHK Flat in Sector 84, Gurgaon",₹1.9 Cr,Carpet Area,"1,900 sqft
(177 sqm)","3 BHK
(4 Baths)"
"DLF The Ultima
4.1","4 BHK Flat in Sector 81, Gurgaon",₹4.85 Cr,Super Built-up Area,"2,872 sqft
(267 sqm)","4 BHK
(4 Baths)"
"Tulip Purple
3.9","4 BHK Flat in Sector 69, Gurgaon",₹2.65 Cr,Super Built-up Area,"2,400 sqft
(223 sqm)","4 BHK
(5 Baths)"
"Emaar MGF The Palm Drive
4.0","3 BHK Flat in Sector 66, Gurgaon",₹4.35 Cr,Super Built-up Area,"2,000 sqft
(186 sqm)","3 BHK
(4 Baths)"
"Paras Dews
3.7","2 BHK Flat in Sector 106, Gurgaon",₹1.62 Cr,Super Built-up Area,"1,385 sqft
(129 sqm)","2 BHK
(2 Baths)"
"Spaze Privy
3.8","3 BHK Flat in Sector 72, Gurgaon",₹2.49 Cr,Super Built-up Area,"1,975 sqft
(183 sqm)","3 BHK
(3 Baths)"
,,,,,
"Signature Global Orchard Avenue 2
3.4","2 BHK Flat in Sector 93, Gurgaon",₹60 Lac,Built-up Area,"650 sqft
(60 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹42.6 Lac,Super Built-up Area,"476 sqft
(44 sqm)","2 BHK
(2 Baths)"
"Adani M2K Oyster Grande
3.8","3 BHK Flat in Sector 102, Gurgaon",₹2.65 Cr,Super Built-up Area,"1,889 sqft
(175 sqm)","3 BHK
(3 Baths)"
"Tulip Yellow
3.5","3 BHK Flat in Sector 69, Gurgaon",₹2.23 Cr,Super Built-up Area,"1,704 sqft
(158 sqm)","3 BHK
(3 Baths)"
"Tata Gurgaon Gateway
3.6","2 BHK Flat in Sector 112, Gurgaon",₹2.38 Cr,Super Built-up Area,"1,580 sqft
(147 sqm)","2 BHK
(2 Baths)"
Godrej Meridien,"3 BHK Flat in Sector 106, Gurgaon",₹2.85 Cr,Super Built-up Area,"1,855 sqft
(172 sqm)","3 BHK
(3 Baths)"
Godrej Aria,"3 BHK Flat in Sector 79, Gurgaon",₹2.3 Cr,Super Built-up Area,"1,983 sqft
(184 sqm)","3 BHK
(3 Baths)"
"Central Park Flower Valley Aqua Front Towers
3.9","3 BHK Flat in Sector-33 Sohna, Gurgaon",₹2.9 Cr,Super Built-up Area,"2,000 sqft
(186 sqm)","3 BHK
(3 Baths)"
"Central Park Flower Valley Aqua Front Towers
3.9","3 BHK Flat in Sector-33 Sohna, Gurgaon",₹2.8 Cr,Super Built-up Area,"2,134 sqft
(198 sqm)","3 BHK
(3 Baths)"
"Tata Gurgaon Gateway
3.6","3 BHK Flat in Sector 112, Gurgaon",₹3.2 Cr,Super Built-up Area,"2,215 sqft
(206 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.63 Cr,Super Built-up Area,"1,496 sqft
(139 sqm)","3 BHK
(3 Baths)"
"Emaar Palm Gardens
4.0","3 BHK Flat in Sector 83, Gurgaon",₹2.5 Cr,Super Built-up Area,"1,900 sqft
(177 sqm)","3 BHK
(3 Baths)"
"Paras Dews
3.7","3 BHK Flat in Sector 106, Gurgaon",₹2 Cr,Super Built-up Area,"1,900 sqft
(177 sqm)","3 BHK
(4 Baths)"
"Bestech Altura
3.5","3 BHK Flat in Sector 79, Gurgaon",₹2.45 Cr,Super Built-up Area,"2,050 sqft
(190 sqm)","3 BHK
(3 Baths)"
"Bestech Altura
3.5","4 BHK Flat in Sector 79, Gurgaon",₹3.3 Cr,Super Built-up Area,"2,675 sqft
(249 sqm)","4 BHK
(5 Baths)"
"Bestech Park View Spa Next
3.8","4 BHK Flat in Sector 67, Gurgaon",₹4.1 Cr,Super Built-up Area,"2,685 sqft
(249 sqm)","4 BHK
(5 Baths)"
"Shree Vardhman Victoria
3.7","3 BHK Flat in Sector 70, Gurgaon",₹2.3 Cr,Super Built-up Area,"1,950 sqft
(181 sqm)","3 BHK
(5 Baths)"
"Eldeco Accolade
3.9","3 BHK Flat in Sohna, Gurgaon",₹2.4 Cr,Super Built-up Area,"2,122 sqft
(197 sqm)","3 BHK
(4 Baths)"
"Adani M2K Oyster Grande
3.8","3 BHK Flat in Sector 102, Gurgaon",₹2.7 Cr,Super Built-up Area,"1,889 sqft
(175 sqm)","3 BHK
(3 Baths)"
"Eldeco Accolade
3.9","2 BHK Flat in Sohna, Gurgaon",₹1.15 Cr,Super Built-up Area,"1,264 sqft
(117 sqm)","2 BHK
(2 Baths)"
"Mapsko Mount Ville
4.1","3 BHK Flat in Sector 79, Gurgaon",₹2.05 Cr,Super Built-up Area,"1,620 sqft
(151 sqm)","3 BHK
(3 Baths)"
"Shree Vardhman Victoria
3.7","3 BHK Flat in Sector 70, Gurgaon",₹2.55 Cr,Super Built-up Area,"1,950 sqft
(181 sqm)","3 BHK
(4 Baths)"
"Tata Gurgaon Gateway
3.6","3 BHK Flat in Sector 112, Gurgaon",₹3.7 Cr,Super Built-up Area,"2,870 sqft
(267 sqm)","3 BHK
(4 Baths)"
"M3M Heights
3.7","3 BHK Flat in Sector 65, Gurgaon",₹3.47 Cr,Super Built-up Area,"1,828 sqft
(170 sqm)","3 BHK
(3 Baths)"
"Emaar Emerald Hills
4.1","4 BHK Flat in Sector 65, Gurgaon",₹4.3 Cr,Super Built-up Area,"2,700 sqft
(251 sqm)","4 BHK
(3 Baths)"
,,,,,
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹1.9 Cr,Super Built-up Area,"1,389 sqft
(129 sqm)","3 BHK
(2 Baths)"
"M3M Woodshire
4.1","3 BHK Flat in Sector 107, Gurgaon",₹1.72 Cr,Super Built-up Area,"1,943 sqft
(181 sqm)","3 BHK
(3 Baths)"
"Spaze Privvy The Address
3.9","3 BHK Flat in Sector 93, Gurgaon",₹1.9 Cr,Super Built-up Area,"2,105 sqft
(196 sqm)","3 BHK
(4 Baths)"
"Ireo Skyon
4.1","3 BHK Flat in Sector 60, Gurgaon",₹3.78 Cr,Super Built-up Area,"2,045 sqft
(190 sqm)","3 BHK
(4 Baths)"
SS Linden Floors,"4 BHK Flat in Sector 84, Gurgaon",₹3 Cr,Built-up Area,"2,700 sqft
(251 sqm)","4 BHK
(4 Baths)"
"Pareena Express Heights
3.8","4 BHK Flat in Sector 99, Gurgaon",₹2.88 Cr,Super Built-up Area,"2,880 sqft
(268 sqm)","4 BHK
(5 Baths)"
"Vatika The Seven Lamps
3.8","2 BHK Flat in Sector 82, Gurgaon",₹1.38 Cr,Super Built-up Area,"1,300 sqft
(121 sqm)","2 BHK
(2 Baths)"
"CHD Avenue 71
3.8","3 BHK Flat in Sector 71, Gurgaon",₹1.85 Cr,Super Built-up Area,"1,485 sqft
(138 sqm)","3 BHK
(3 Baths)"
"Vatika Lifestyle Homes
3.7","3 BHK Flat in Sector 83, Gurgaon",₹1.68 Cr,Super Built-up Area,"1,755 sqft
(163 sqm)","3 BHK
(2 Baths)"
Hero Homes,"2 BHK Flat in Sector 104, Gurgaon",₹1.7 Cr,Super Built-up Area,"1,099 sqft
(102 sqm)","2 BHK
(2 Baths)"
"ATS Triumph
3.7","4 BHK Flat in Sector 104, Gurgaon",₹3.95 Cr,Super Built-up Area,"3,150 sqft
(293 sqm)","4 BHK
(4 Baths)"
"Pareena Express Heights
3.8","3 BHK Flat in Sector 99, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,865 sqft
(173 sqm)","3 BHK
(3 Baths)"
"Orchid Petals
4.1","3 BHK Flat in Sector 49, Gurgaon",₹2.96 Cr,Super Built-up Area,"1,805 sqft
(168 sqm)","3 BHK
(3 Baths)"
"ROF Aalayas
3.9","3 BHK Flat in Sector 102, Gurgaon",₹85.5 Lac,Carpet Area,"645 sqft
(60 sqm)","3 BHK
(2 Baths)"
"Sobha City
3.7","2 BHK Flat in Sector 108, Gurgaon",₹2.7 Cr,Super Built-up Area,"1,381 sqft
(128 sqm)","2 BHK
(2 Baths)"
Greenopolis,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,957 sqft
(182 sqm)","3 BHK
(3 Baths)"
"Puri Diplomatic Greens
3.8","3 BHK Flat in Sector 111, Gurgaon",₹2.8 Cr,Super Built-up Area,"1,810 sqft
(168 sqm)","3 BHK
(3 Baths)"
Godrej Meridien,"3 BHK Flat in Sector 106, Gurgaon",₹2.58 Cr,Super Built-up Area,"1,625 sqft
(151 sqm)","3 BHK
(3 Baths)"
"Shapoorji Pallonji Joyville Gurugram
4.0","3 BHK Flat in Sector 102, Gurgaon",₹2.5 Cr,Super Built-up Area,"1,692 sqft
(157 sqm)","3 BHK
(3 Baths)"
